car_park_no,address,car_park_type,type_of_parking_system,night_parking,Latitude,Longitude,,,,,
A1,BLK 215 ANG MO KIO STREET 22,SURFACE CAR PARKS,COUPON PARKING,NIGHT PARKING,1.366714358,103.841713,,,,,
A10,BLK 201/202 ANG MO KIO STREET 22,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.368633032,103.8445206,,,,,
A100,BLK 650 ANG MO KIO STREET 61,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.377987504,103.8426056,,,,,
A11,BLK 223/226/226A-226D ANG MO KIO STREET 22,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.367035508,103.8381805,,,,,
A12,BLK 229/230 ANG MO KIO STREET 22,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.368567944,103.8387604,,,,,
A13,BLK 232/233 ANG MO KIO STREET 22,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.368000269,103.8368073,,,,,
A15,BLK 226E-226H ANG MO KIO STREET 22,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.366967559,103.840416,,,,,
A2,BLK 206/207 ANG MO KIO STREET 22,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.366237044,103.8430481,,,,,
A20,BLK 304/307/319 ANG MO KIO STREET 31,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.364943385,103.8484573,,,,,
A21,BLK 325/326/301 ANG MO KIO STREET 31,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.368127584,103.8463135,,,,,
A23,BLK 347A ANG MO KIO AVENUE 3,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.367335439,103.8489151,,,,,
A24,BLK 338/340 ANG MO KIO STREET 32,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.364753366,103.8493958,,,,,
A25,BLK 330/337 ANG MO KIO AVENUE 8,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.362769365,103.8516312,,,,,
A26,BLK 113/114/118 ANG MO KIO AVENUE 4,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.37277019,103.8354492,,,,,
A27,BLK 108/109/110 ANG MO KIO STREET 11,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.370362997,103.8383179,,,,,
A28,BLK 103/105/107 ANG MO KIO STREET 11,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.371649981,103.8374634,,,,,
A29,BLK 347 ANG MO KIO AVENUE 3,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.367226243,103.8487167,,,,,
A30,BLK 129/134 ANG MO KIO STREET 12,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.370989799,103.8424225,,,,,
A30A,BLK 133 ANG MO KIO STREET 12,SURFACE CAR PARKS,COUPON PARKING,NO,1.370218158,103.8427582,,,,,
A31,BLK 119/128 ANG MO KIO STREET 12,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.370451093,103.8436966,,,,,
A31A,BLK 125/126 ANG MO KIO STREET 12,SURFACE CAR PARKS,COUPON PARKING,NO,1.371859312,103.8436584,,,,,
A33,BLK 253/254 ANG MO KIO STREET 21,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.370020986,103.8346939,,,,,
A34,BLK 422/425 ANG MO KIO STREET 42,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.368356466,103.8516693,,,,,
A35,BLK 426/428/435 ANG MO KIO STREET 43,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.368646383,103.8540802,,,,,
A36,BLK 436/443/445 ANG MO KIO STREET 43,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.366407156,103.855278,,,,,
A37,BLK 446/449/453 ANG MO KIO STREET 43,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.368113041,103.8555603,,,,,
A38,BLK 407/410/421 ANG MO KIO AVENUE 10,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.363963723,103.8545914,,,,,
A39,BLK 401/405 ANG MO KIO AVENUE 10,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.36115098,103.8540726,,,,,
